0,0,0.050544,0,0.007,0.0078934,0,0.39333,0.0213,0.0514,0,0.21627,1.4431,0.00046754,2.9225,6.5802,0,0,0.0072039,0.00011854,0,0.19714,0.15243,0.149,0.0014663,0,0.0047818,0.049015,1.2857,0,0,0,0.039358,0.081912,2.694,0,0.21618,0,0,0.0037872,0.076428,0.0025725,0.197,0,0.0234,0.0281,2.7115,0,0,6.0642,0.012145,4.4699,0.0055488,0,0.0006,0,0,0,11.535,1.6757,0.010453,0.0054895,0,0.00615,3.5433,0,0.114,0,0,0.0609,0,0,0,0,5.1542,0.0149,0,123.9,0.039079,11.61,0,0.0876,0,1.3114,0,0.75232,1.2536,0.52035,0.18334,0.909,0.61189,0.577,0,0,3.9448,0,0,0.0003,0.0537,0.012472,0.0032594,0,0.019862,0,0,0.0006,0,0.048671,0,0.0029768,0.0001,0,0,0,0,36.34,0,0.049412,0,0.0075744,2.9575e-09,0,0.19375,0,93.149,0,0,0,0.063159,0.39687,0.0479,0,0.13487,0.0005,14.877,0,0,0,1.0598,0,0.060922,0,0,0.066207,0.0876,0.0002,0,0,0,0.3173,0,0.070389,0,0,0,0,0.0193,0.20073,0,67.128,0.067301,1.049,0,0,0.17677,1.9949,8.5062,0.64563,0.034527,0.7384,11.039,2.4469,86.9,0.0053705,0,0,0.36683,0,0,0,0
2.5767,0,0.19516,0,0.081,0.00056358,0,0.27899,10.246,0,0,0,0,0.005086,0.0395,0.5725,0,0.0080149,0,0,5.4328,0.3483,0,11.148,0,0,0,0.13674,3.0985,0,0,0,0.083438,0.024497,91.016,0.013633,0.42138,0,0,0,0.017542,0.0067954,4.755,0,1.1272,0.6405,0.5585,0,0,0.12252,0.000734,0.11713,0.00019543,0,0.1663,0,0,0,6.3558,12.139,0,0,0,0.014129,36.825,0.000516,146.98,0,0,0,0,0,0,0,0,6.5314,0.079667,0.27232,0.5453,0.13531,0.093495,0.171,0,707.75,0,1.4199,0,2.5664e-11,6.4191e-09,1.146,0,0,0,0.0014,0,0.0014001,0.0046751,0.0029,0.031,30.528,0.001027,0,2.0358,0,8.8331e-10,0.0115,0,0.0021923,0,0,0,0.15636,0,0,0,40.032,0,0.037077,0.020954,0,0.0050021,0,1.412,1.8802e-11,0,0,0,0,0.0038722,0,1.0714,0.0002,0,2.3607,28.237,0,0,0,0.007565,0,1.589e-07,0,0,0,0.1557,6.5503,0,0,0.12612,2.9155,0,0,0,0,0,0,11.88,2.1243,2.3556e-08,0.0015,0,0.21063,0,0,0,0.023919,36.697,0,0,0.407,0.00042713,8.7781,12.4,0.079838,0,0,0.61417,0,0.12409,0.026908,0.0057258
0,1.2634,0,0,0.337,0.28099,0,236.28,897.63,0,0,0.052498,0,0,5.5054,2128.1,0,0.14908,0,0,0,3353.6,0,1.2475,0.15444,0,0.19998,4.4287,8083.4,0.37427,0,0.0054702,0.056789,0.32732,842.03,0,0.014703,0,0,0,0,1.0594,0.468,247.43,10.735,17.628,2.0306,0,0,0.030835,0,667.31,0,0,0,0,0,0,0.0774,7096.4,0,0.087927,1.1904,0,2574.1,48.709,326.95,0,0,0.0157,9.7315,0,0,0.017065,0,0.0778,0,1044.8,109.13,28.594,0,0.0483,0,12545,0,987.91,0.10842,0,2.38,844.72,0.85989,0,0,0,19.157,3.5094,51.33,0.3369,0.0446,0,0.44512,0,6.7714,0,0.49211,0.0181,2.681,0,255.78,0.004322,0,781.94,0,0,0,3813.2,0,0,0,161.95,116.98,1647.7,9.0143,5.0545,8.1971,0,0,0,0.013535,13.507,0.9108,1033.2,0.93323,5.1708,221.47,0,0,0.35282,47.119,3.7582,0.22517,0,3.0194,1.7001,0.0033,155.18,0,0.070412,43.261,9274.6,0,0,0,0,0.3284,0,159.51,115.33,31.741,0,0.15539,574.79,0.0048279,0,0,941.29,3262.2,0,0.00017767,8.1944,97.818,1598.4,20032,3.1938,0,0,0,0,0.45167,0,0
0,0,0.17653,0,0.009,0.0087,0,0.12272,0.0045,0.2791,0,0,0,0,0,202.57,0,0.0035511,0,0.026033,0,2675.7,0,0.0005,0,0,0,2.8601,2799,1.5694,0,0,1641.9,121.59,22370,0.021921,0.024426,0,0,0.65043,0.093874,0.011009,0.012,0,0,0,0.0195,0,0,0,116.63,0.012683,19.806,0,0,0,0,0,0.0001,4049,0,1.655,0,0,701.18,5.7679,0.0002,0,0,10.837,0,0,0,0,0,0,0,1320.6,0.94875,0,0,0.0277,0,446.98,0,24.782,0,0,0.00071317,0.743,0,0,0,0,0.039847,0,0,0,0,0,0,0,1.5325,0,0,0,0,0,0,0,0,17.146,3.837,0,0,2441.8,0,0,0,0.18936,6.8572,0,156.91,0,0.99493,0,0,0,385.38,0,1.4242,604.23,0,0.001,0.059667,0,0,0,0,0,0.15301,0,0,4.2913,0.0573,0.1093,0,0,3090.4,1804.6,0,0,0,0,0.13093,0,144.62,4.7679,0,0,7.5798e-05,1.6248,0,0,136.01,0.028753,16.023,0,0.098444,0.0516,0,1079.8,19498,74.585,0,0,0.0043206,0,0,0.082597,0.00050622
0.4631,7.1951,1263,234.48,0,3.6854,4.3879,332.98,154.76,17.745,25.506,6.2568,172.61,2.6081,115.44,717.39,0.198,5.5561,0,667.07,11.631,18206,0.4059,16.082,3.905,0,4.5848,17.126,646.63,7.2853,0,0.66,4910.1,262.36,9372.4,3.0684,920.38,1.1605,50.036,56.783,143.03,39.144,36.129,92.805,46.889,31.628,592.98,0.616,0.2464,172.13,529.54,1182.8,77.526,3.7224,4.8563,0,0,0.3839,57.937,1085.9,0,15.04,2.9271,3.6875,1858.4,41.989,184.12,0,0.8052,142.41,1.7688,0.8547,4.3967,17.665,30.298,29.946,5.1779,608.89,613.8,1190.2,22.432,109.34,150,2012.7,13.923,694.24,98.885,35.109,102.17,914.77,33.25,5.467,0,14.339,53.453,7.8661,211.68,25.051,2.8816,3.8984,58.049,5.2514,657.19,0.1991,2.6719,2.0681,3.7257,39.492,1580.1,3.7664,7.0816,540.34,41.347,0.2486,0.0363,2643.1,225.09,51.397,26.623,14.879,209.99,0,69.401,59.921,168.46,38.182,0.0627,1194.2,1443.8,381.97,573.05,498.32,17.756,122.34,1233.6,9.2961,0.0275,0.1001,489.95,88.499,19.323,0.1826,8.0377,73.762,2.363,199.27,0,0,1114,3523.2,9.1674,0.1419,0.7788,1.3299,6.1226,10.699,68.767,95.384,281.97,0.0055,41.402,606.66,5.104,0.033,38.926,384.99,789.81,5.9686,47.443,139.12,392.54,1069.9,6177.8,1979.9,0.33,0.0737,1559.7,379.1,55.45,0.6325,0.1397
0,0.4461,0.061391,0,0.003,0,0,0.81457,6.2636,0,0,0.0005929,0,0.022286,4.5804,84.259,0,0,0,0,0,0.33178,0,3.7312,0,0,0,0,6.9355,0,0,0,12.581,1.0219,11.204,0.033237,0.024706,0,0,0,0.022874,0,0.262,0,0.4362,2.4287,0.11,0,0,0,0,0.11033,0,0,1.0969,0,0,0,0.2846,4.8958,0,0,0,72.078,187.33,0,0.4579,0,0,0,0,0,0,0,0,0.4817,0,3.0223,0.024887,27.562,0,0.0021,1.6,17.81,0,0.60739,0.001831,3.1899,0,1.129,0,0,0,1.0189,0.19886,0,0,0.3278,0,0,0,0,0.11338,0,0,0.0004,0,0.19737,0,1.8047,0.0328,5.5e-05,0,0,0,133.11,0,0.083241,0,0,0,0,0.039054,0,0.22371,0,0,0,0.066966,0,5.4846,0,0,0.1935,203.96,0,0,0,0.001298,0.18256,0.40253,0,0,0,0.8685,0.0037,0,0,0.048141,12.677,0,0,0,0,0,0,0.9886,2.3918,0.094567,0.0891,0.084892,1.1638,0,0,0,0,1.4894,4.9141,0,25.456,11.386,1.6454,43.5,0,3.4198,0,0,0,0,0,0
0,0,0,0,2.727,0,0,0,0.0002,0,0.023984,0.023782,0,0.018117,0,105.99,0,0,0.028841,0.015913,0,408.22,0,0,0,0,0.20905,0,159.86,0,0,0,0,0.053358,0.225,0,184.1,0,0,0,0.32364,0,0,0.052745,0,0.0209,0.0251,0,0.0062104,1.22,24.803,0,0,0,0.0007,0,0,0,0.0322,307.19,0,23.171,0,0,1.0341,0,12.494,0,0.0076988,0.0003,0,0,0.0087238,0.069463,0,0.0015,0,0.013535,0.001289,9.542,0,0.0185,0,16.147,0.97811,0,0,0,0,34.429,0,0,0,0,0,0,0,0,0,0,0,0,0.026804,0,0,0,0,0,0,0,0.0275,0,0,0,0,25.853,11.686,0.030087,0,0,0.00049899,0,0.00088021,0,0,0.004,0,0.061502,0.18926,0,0.1793,0.125,0,16.941,0.001108,0,0,0,0,0,0,0,0,0,0.7116,0.174,0,0,0,51.953,0,0.039268,0.00095743,0,0,1.7434,1.8569,0.044354,0,0,0.0046574,0,0,0,0.48857,0,36.076,0,0.017527,0,0.26327,198.83,3259.6,0,0,0,18.712,0,0,0.015721,0
14.322,0.91384,93.562,21.344,284.02,5.6076,0.33183,0,79.298,4.4118,9.7253,162.29,387.18,8.0278,4.4355,1643.7,0.81217,12.137,2.0238,3.5474,3.029,1568.7,27.722,49.078,2.6284,0.24196,41.274,12.902,1712.6,0.013596,0.12178,2.161,299.98,2083.5,36284,49.99,51.473,0.071083,1.54,1.6993,26.17,10.08,9.671,6.1148,11.516,32.221,157.74,3.6252,0.25459,9.3519,9.5392,335.78,34.115,0.55468,1.9017,13.923,0,375.57,893.36,1659.9,349.85,2.2178,0.13816,2.0863,1698.7,160.45,58.151,0,0.12945,37.477,38.856,0.027089,0.97888,2.7046,5.8347,18.509,248.13,8276.6,4005.3,179.71,154.86,162.81,240.2,1743.5,19.462,47683,67.959,23.657,57.586,18000,467.81,13.075,15.465,2.6761,26.019,1.8073,50.273,3.3843,2.8628,1.542,21.424,0.72278,3527.2,23.639,18.933,6.9569,13.31,99.983,887.23,0.1033,17.721,21.683,4.773,29.885,31.987,1907.9,2.5498,6207.1,1.8474,1.958,39.348,0,239.55,398,401.26,2.748,1469,1.2677,95.519,956.79,112.5,25.296,172.4,190.23,1028.9,0.50537,23.768,0.0077296,2300.8,37.691,6.7219,4.9907,2.9916,4583.6,15.207,11.993,63.078,0.4995,1803.9,1104.6,205.84,0.2632,3.2662,2.5814,236.82,0.77967,566.82,217.01,7.3083,33.134,64.889,5122.9,3.292,14.313,16.588,6.9647,827.27,0.29726,3.6672,411.16,3597.1,4180.9,10961,21.247,0.75772,77.719,26.388,1360.5,167.26,21.586,1.5817
8.9723,95.878,311.53,33.557,192.08,161.57,0.076095,1042.5,0,70.746,24.881,71.479,97.632,3.6238,217.42,2762.4,5.3841,7.6239,2.1979,9.791,613.2,1190.9,3.1494,1513.9,0.84953,4.9007,1.1479,14.049,1570.3,0.54967,0.43351,6.2872,174.72,621.39,3114.2,7.2414,133.57,0.02013,3.4907,8.5069,26.507,13.639,1508.4,11.022,59.867,7456,1154.1,2.5727,0.56551,10.977,15.467,345.61,8.6064,1.6965,129.13,45.49,1.6897,4.1518,813.92,6356,6.0275,23.497,1.1755,70.324,51493,14.56,1156.9,0.57255,0.3443,12.404,22.757,1.955,0.93511,3.0548,6.2872,6767.7,35.369,655.86,358.53,533.01,72.246,288.99,398.5,12602,18.59,1557,52.993,444.56,20.118,979.04,166.59,10.915,0.45342,280.23,70.702,2.7588,153.03,275.14,184.41,175.21,4.5824,2.3474,472.77,7.8318,15.994,53.119,7.0023,16.282,874.64,83.128,6.2969,124.99,1.891,9.4093,1.366,3027,13.668,143.99,5.0265,5.5773,285.3,3.1909,863.85,16.799,163.44,19.149,0.77726,9.6537,98.029,41.256,4451.4,518.01,209.11,4162.6,3113.6,0.4543,0.29458,0.0297,730.41,18.212,1032.8,1.7645,3.3891,980.24,3672.3,4160.1,0.02882,0.13145,819.72,3692.3,58.536,0.92642,0.41514,0.27225,48.826,2.7073,1823.2,7326.4,107.19,3.1755,22.605,307.85,2.6242,0,27.608,107.91,1525.5,52.578,5.7792,1031.2,1038.6,4297.3,8676.3,20.604,102.7,0,181.58,92.6,26.015,9.4096,1.2539
89.327,9.1832,0,0.00231,0.07,0,0,0.096103,0.5166,0,71.143,0.00781,0.07291,0,6.2265,31.807,0,0,0,0,0,0.25309,0,1.3454,0,0,0,0,1238.4,0,0,0,0,0.91159,114.86,0,0.036133,0,0,0,0,0,0.039,0.3344,0,1569.2,0.4245,0,0,0,0.022136,38.554,0,0,0.6981,0,0,0,0.4013,2572.3,0,0,0,607.4,2756.9,0,93.078,0,0,0,0,0,0,0,0,0.0089,0,184.08,100.01,391.21,65.599,0.0898,0.3,6344,0,50.597,0.013963,319.27,0,12.422,0,10.483,0,2.5793,16.073,0,37.293,9.9538,6.3703,0,0,0,0.022511,0,0,0.0081,0,0,0,0.35145,0.0345,0,0,0,0,571.9,0,0.040398,0,0,26.601,0,9.972,0.0010403,0.02728,0,0,0,0,0.000958,177.76,83.864,0.00506,143.67,411.01,0,0,0,0.12727,0,0,0,0,0,10.779,0,0,0,0,1005.6,0,0.05808,0,0,0.374,0,73.332,122.5,0.01474,69.502,0,2.2851,0,0,0,0,928.42,23.102,0,75.694,35.439,456.49,4488.6,0,8.1995,0,0,0,0.03894,0,0
0,0.13894,0.056545,0,4.067,0.046278,4.5907,2.5239,0.0161,0,0,0.1499,0,0.25332,0.0001,7.1884,0.96628,0,0.017115,0.06256,0,26.31,0,0.9038,0,0,0,0,77.294,0.0026364,0,0,0.23255,0.075693,0.607,0.023868,0.30774,0,0,0,0.27432,0.011876,0.715,0,0.0017,0.0188,0.005,0,0.20185,28.664,52.542,0,7.6862,0,0,0,0,0,0.2415,23.262,0.0018789,0,0,0.36236,221.51,0,19.328,0.096602,0.38858,25.354,0,0,0.030368,0.09762,1.3003,0.004,0.53924,32.275,1.888,0,0,0.0062,0,5.0118,1.2009,217.24,0,0.71174,0.043918,0.854,0,0.001,0,0.0003,0.15939,0,0,0.0015,0.002,0.015661,0,0,42.77,0.070543,0,0,0,0.15333,44.061,0.0098059,0,0.34533,0,0,0,2.1332,69.784,0.10359,1.9947,0,1.7062,0,4.5442,0,0.44197,0,0,0,0.00098895,0.006479,526.66,0.2551,0,0.0001,2.3118,0,1.0526,0,0.035565,0.0083889,0.018418,0,0,548.55,0,0,0,0,26.695,80.991,0,0.036733,0.18639,0.068887,0,0.29061,0.0763,91.106,0,0,0.0025887,6.3262,0,0,7.6068,0.026292,54.037,0.026547,0,1.0564,0.66905,10.605,626.5,0.04571,0,0,1.2464,0,0,0.0012673,0
0.61217,0,43.021,0.46291,0,0.66083,0.049175,208.18,3.2947,0.0446,0,0,2.2311,0.043531,0,15.872,0,8.2181,0.0078771,1.1458e-05,0,33.397,0.019369,0.0405,0.018712,0,0.1167,0.0028686,4.0542,0,0,0,0.14,20.656,131.11,0,0.12094,0,0,0.078981,0.026372,0.48603,0.226,0,0.2309,0.0584,8.4793,0,0,0.015602,0,53.118,0,0,0.4187,0,0,0,20.589,250.72,0,0,0,0.0062424,144.02,2.0242,17.839,0,0,0,0,0,0,0,0,2.3674,0,1245.6,248.95,146.53,0.21254,13.432,0,114.88,0,419.21,147.46,0.67684,401.99,292.64,184.97,0.011,0,0,195.65,0,8.9013,0.2495,0.0034,0.10044,358.82,0,132.83,26.274,0,0.1592,0,0.20736,0,0,0.0002,38.412,0,0,1.2235,395.28,0,14.144,3.918e-05,8.525,2.7556,0,18.134,215.07,77.182,0,0.064058,0,0.20713,1.0472,0.0261,1.6983,188.54,0.0001,1.0099,0,0,0,1059.1,0.38862,0.945,0.19461,0,242.03,0.3983,32.033,0,0.021319,410,144.17,6.2088,0,0,0,78.334,0,0.8573,27.585,18.5,0,234.03,177.07,1.2911,0,0,16.235,95.516,0,46.843,0.4464,697.1,162.76,570.3,0,0,0,0,0,12.539,0.010102,0.0028078
2.5502,0.86562,4.1357,0,6.026,0.28687,0,49.459,70.619,0.8516,0,1.6192,0,0,3.9498,647.69,0,0.35289,0,0,0,103.14,0.33705,0.8532,0,0.24086,0.73772,0.80215,671.36,0,0,0,3.3181,120.92,130.73,0.18995,3.4988,0,0,0,0,10.109,28.558,0,1.7751,23.272,154.51,0.24048,0,0.51121,0.015075,13.666,0.72331,0,0.8686,0,0,0,28.967,898.17,0,0,0,0.084203,2192.3,2.6626,45.949,0,0,0.6246,0.20861,0.67359,0,0,0,3.4262,3.319,295.52,26.257,58.21,0,39.949,1.2,639.71,0.75224,201.01,3.9144,0.75387,3.8647,169.03,7.6649,0.707,0,0.3557,0,0,0,0.36,0.067,0,0.42125,0,58.76,0,0,0.9562,0,0,0,0.096252,0.37,3.6892,0.197,4.1849,6.6059,640.15,0.032057,5.2862,0.62886,0,4.253,72.71,100.09,2.6679,86.351,0,2.6621,0,4.8439,4.5347,58.444,22.385,5.6606,12.453,144.64,0,0,0,51.004,0,6.6533,0,0,99.085,31.688,4.4988,0,0,47.158,664.23,12.156,0,0.165,0.064179,25.614,0,226.76,115.61,24.117,0.0768,0.36869,21.944,0,0,0,2.5984,447.71,0,2.0947,11.014,48.202,1623,3982.8,0,2.9973,0,0,0,1.3951,0,0
